nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-08-25,74.7339871696,71.1742626672,73.4700393683,72.3081471739,2227400267,4563612040,-1.1618921943999965,2019,Domingo,15.494022318753835,-0.015728457053619804
Litecoin,2019-08-26,74.9861175761,72.1227086571,72.32022988,73.8571740551,3046136697,4661893373,1.536944175100004,2019,Segunda-feira,15.847366788906223,0.02142257742373932
Litecoin,2019-08-27,73.9338649445,72.3661236952,73.9338649445,72.8362287979,2489689274,4597966230,-1.0976361465999958,2019,Terça-feira,15.614481636725737,-0.013823237488593043
Litecoin,2019-08-28,73.0486214094,66.5383239685,72.9027687453,67.4255418594,2883041616,4256892976,-5.477226885899995,2019,Quarta-feira,14.380263991668693,-0.07428565465014858
Litecoin,2019-08-29,67.4307451962,63.6286712525,67.3553379941,64.098055358,3092332444,4047272938,-3.257282636100001,2019,Quinta-feira,13.62123974938726,-0.04935053408007739
Litecoin,2019-08-30,65.4372437163,62.614576882,64.0837359798,64.3329790986,2377466438,4062542325,0.2492431188000097,2019,Sexta-feira,13.67482758937634,0.003665068141114558
Litecoin,2019-08-31,65.2663185636,63.0107617681,64.3590885117,64.5760532334,2283340831,4078358696,0.21696472170000902,2019,Sábado,13.730274594467767,0.003778375231581421
Litecoin,2019-09-01,66.7741871836,64.4956005225,64.5586076873,66.1447228307,2228146663,4177872605,1.5861151434000078,2019,Domingo,14.088099713211179,0.02429181590937879
Litecoin,2019-09-02,67.5512600694,64.9551941655,66.1136231158,66.9449522931,2400017919,4228918428,0.831329177300006,2019,Segunda-feira,14.270637962755957,0.012098160339234054
Litecoin,2019-09-03,70.7095245071,66.6389481865,66.9907722726,69.1292588978,2816706430,4367373936,2.1384866252000023,2019,Terça-feira,14.768894428964064,0.032628398854279705
Litecoin,2019-09-04,69.2366660395,67.0610346986,69.1765010412,67.285630942,2696779274,4251369351,-1.8908700992000007,2019,Quarta-feira,14.34834927825911,-0.026669285700366085
Litecoin,2019-09-05,67.6228589027,64.6159071734,67.3087409296,65.3955698556,2379080140,4132391771,-1.9131710740000045,2019,Quinta-feira,13.91721238758599,-0.02809011463427047
Litecoin,2019-09-06,67.8898332082,64.8905099873,65.3867292604,65.2282013513,2595201216,4122321157,-0.1585279091000018,2019,Sexta-feira,13.879034395848192,-0.002559324808539265
Litecoin,2019-09-07,70.2948783837,64.9035276894,65.2368801491,69.0387130318,2763572250,4363628897,3.8018328826999976,2019,Sábado,14.748240248307448,0.05841816272041145
Litecoin,2019-09-08,71.1093796343,68.9365090054,69.0160636662,70.5493658145,2776939870,4459610897,1.5333021483000095,2019,Domingo,15.09283130322436,0.021881241934567752
